"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","condition","exp_stage","trial_num","correct_response","correct","exp_id"
"1740","13","text","0","1744","0.0-0.0","sub-13-ses-03_1","","","","","","","","","","","","","",""
"1040","89","poldrack-text","1","3797","0.0-1.0","sub-13-ses-03_1","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre index</p></div>","1040","500","fmri_response_test","","","","","","","","","",""
"629","71","poldrack-text","2","4949","0.0-2.0","sub-13-ses-03_1","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre majeur</p></div>","629","500","fmri_response_test","","","","","","","","","",""
"16927","","survey-text","3","22418","0.0-3.0","sub-13-ses-03_1","","","","task_setup","{""Q0"":""3"",""Q1"":""1""}","","","","","","","","",""
"4283","32","poldrack-single-stim","4","27713","0.0-4.0","sub-13-ses-03_1","","4283","500","instructions","","<div class = centerbox><p style = ""font-size:40px"" class = center-block-text>Paire cible (appuyez sur l'index):</p><p class = center-block-text><img src = ""/static/experiments/dot_pattern_expectancy/images/cue3.png"" ></img>&nbsp&nbsp&nbsp...suivi par...&nbsp&nbsp&nbsp<img src = ""/static/experiments/dot_pattern_expectancy/images/probe1.png"" ></img><br></br></p><p style = ""font-size:40px"" class = center-block-text>Sinon appuyez sur le majeur</div>","32","4283","","","","","",""
"-1","-1","poldrack-single-stim","5","28746","0.0-5.0-0.0","sub-13-ses-03_1","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue3.png""</img></div></div>","none","500","AX","practice","0","","",""
"-1","-1","poldrack-single-stim","6","30763","0.0-5.0-1.0","sub-13-ses-03_1","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","","practice","","","",""
"535","89","poldrack-single-stim","7","32680","0.0-5.0-2.0","sub-13-ses-03_1","","1900","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe1.png""</img></div></div>","89,71","500","AX","practice","0","89","true",""
"-1","-1","poldrack-single-stim","8","33192","0.0-5.0-3.0","sub-13-ses-03_1","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","","practice","1","","",""
"-1","-1","poldrack-single-stim","9","33711","0.0-5.0-4.0","sub-13-ses-03_1","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue3.png""</img></div></div>","none","500","AY","practice","1","","",""
"-1","-1","poldrack-single-stim","10","35723","0.0-5.0-5.0","sub-13-ses-03_1","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","","practice","","","",""
"979","71","poldrack-single-stim","11","38041","0.0-5.0-6.0","sub-13-ses-03_1","","2300","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe4.png""</img></div></div>","89,71","500","AY","practice","1","71","true",""
"-1","-1","poldrack-single-stim","12","38561","0.0-5.0-7.0","sub-13-ses-03_1","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","","practice","2","","",""
"-1","-1","poldrack-single-stim","13","39082","0.0-5.0-8.0","sub-13-ses-03_1","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>","none","500","BX","practice","2","","",""
