"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","exp_stage","condition","trial_num","correct_response","correct","exp_id"
"5667","13","text","0","5671","0.0-0.0","sub-14_ses-03_1","","","","","","","","","","","","","",""
"3537","89","poldrack-text","1","10220","0.0-1.0","sub-14_ses-03_1","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre index</p></div>","3537","500","fmri_response_test","","","","","","","","","",""
"352","71","poldrack-text","2","11084","0.0-2.0","sub-14_ses-03_1","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre majeur</p></div>","352","500","fmri_response_test","","","","","","","","","",""
"5855","","survey-text","3","17463","0.0-3.0","sub-14_ses-03_1","","","","task_setup","{""Q0"":""2"",""Q1"":""6""}","","","","","","","","",""
"1762","32","poldrack-single-stim","4","20244","0.0-4.0","sub-14_ses-03_1","","1762","500","instructions","","<div class = centerbox><p style = ""font-size:40px"" class = center-block-text>Paire cible (appuyez sur l'index):</p><p class = center-block-text><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png"" ></img>&nbsp&nbsp&nbsp...suivi par...&nbsp&nbsp&nbsp<img src = ""/static/experiments/dot_pattern_expectancy/images/probe6.png"" ></img><br></br></p><p style = ""font-size:40px"" class = center-block-text>Sinon appuyez sur le majeur</div>","32","1762","","","","","",""
"-1","-1","poldrack-single-stim","5","21273","0.0-5.0-0.0","sub-14_ses-03_1","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue3.png""</img></div></div>","none","500","practice","BX","0","","",""
"-1","-1","poldrack-single-stim","6","23279","0.0-5.0-1.0","sub-14_ses-03_1","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","practice","","","","",""
"453","71","poldrack-single-stim","7","24789","0.0-5.0-2.0","sub-14_ses-03_1","","1500","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe6.png""</img></div></div>","89,71","500","practice","BX","0","71","true",""
"-1","-1","poldrack-single-stim","8","25308","0.0-5.0-3.0","sub-14_ses-03_1","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","practice","","1","","",""
"-1","-1","poldrack-single-stim","9","25830","0.0-5.0-4.0","sub-14_ses-03_1","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>","none","500","practice","AX","1","","",""
"-1","-1","poldrack-single-stim","10","27848","0.0-5.0-5.0","sub-14_ses-03_1","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","practice","","","","",""
"479","89","poldrack-single-stim","11","29357","0.0-5.0-6.0","sub-14_ses-03_1","","1500","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe6.png""</img></div></div>","89,71","500","practice","AX","1","89","true",""
"-1","-1","poldrack-single-stim","12","29879","0.0-5.0-7.0","sub-14_ses-03_1","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","practice","","2","","",""
"-1","-1","poldrack-single-stim","13","30399","0.0-5.0-8.0","sub-14_ses-03_1","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>","none","500","practice","AY","2","","",""
"-1","-1","poldrack-single-stim","14","32419","0.0-5.0-9.0","sub-14_ses-03_1","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","practice","","","","",""
"592","71","poldrack-single-stim","15","34739","0.0-5.0-10.0","sub-14_ses-03_1","","2300","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71","500","practice","AY","2","71","true",""
"-1","-1","poldrack-single-stim","16","35260","0.0-5.0-11.0","sub-14_ses-03_1","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","practice","","3","","",""
"-1","-1","poldrack-single-stim","17","35780","0.0-5.0-12.0","sub-14_ses-03_1","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue4.png""</img></div></div>","none","500","practice","BY","3","","",""
"-1","-1","poldrack-single-stim","18","37789","0.0-5.0-13.0","sub-14_ses-03_1","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","practice","","","","",""
