"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","condition","exp_stage","trial_num","correct_response","correct","exp_id"
"1824","13","text","0","1826","0.0-0.0","sub-11_ses-03_2","","","","","","","","","","","","","",""
"5626","89","poldrack-text","1","8459","0.0-1.0","sub-11_ses-03_2","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre index</p></div>","5626","500","fmri_response_test","","","","","","","","","",""
"395","71","poldrack-text","2","9373","0.0-2.0","sub-11_ses-03_2","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre majeur</p></div>","395","500","fmri_response_test","","","","","","","","","",""
"5831","","survey-text","3","15745","0.0-3.0","sub-11_ses-03_2","","","","task_setup","{""Q0"":""4"",""Q1"":""6""}","","","","","","","","",""
"2891","32","poldrack-single-stim","4","19649","0.0-4.0","sub-11_ses-03_2","","2891","500","instructions","","<div class = centerbox><p style = ""font-size:40px"" class = center-block-text>Paire cible (appuyez sur l'index):</p><p class = center-block-text><img src = ""/static/experiments/dot_pattern_expectancy/images/cue4.png"" ></img>&nbsp&nbsp&nbsp...suivi par...&nbsp&nbsp&nbsp<img src = ""/static/experiments/dot_pattern_expectancy/images/probe6.png"" ></img><br></br></p><p style = ""font-size:40px"" class = center-block-text>Sinon appuyez sur le majeur</div>","32","2891","","","","","",""
"-1","-1","poldrack-single-stim","5","20673","0.0-5.0-0.0","sub-11_ses-03_2","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue4.png""</img></div></div>","none","500","AY","practice","0","","",""
"-1","-1","poldrack-single-stim","6","22694","0.0-5.0-1.0","sub-11_ses-03_2","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","","practice","","","",""
"853","71","poldrack-single-stim","7","24213","0.0-5.0-2.0","sub-11_ses-03_2","","1500","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe2.png""</img></div></div>","89,71","500","AY","practice","0","71","true",""
"-1","-1","poldrack-single-stim","8","24723","0.0-5.0-3.0","sub-11_ses-03_2","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","","practice","1","","",""
"-1","-1","poldrack-single-stim","9","25243","0.0-5.0-4.0","sub-11_ses-03_2","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue4.png""</img></div></div>","none","500","AX","practice","1","","",""
"-1","-1","poldrack-single-stim","10","27262","0.0-5.0-5.0","sub-11_ses-03_2","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","","practice","","","",""
"705","89","poldrack-single-stim","11","28972","0.0-5.0-6.0","sub-11_ses-03_2","","1700","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe6.png""</img></div></div>","89,71","500","AX","practice","1","89","true",""
"-1","-1","poldrack-single-stim","12","29493","0.0-5.0-7.0","sub-11_ses-03_2","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","","practice","2","","",""
"-1","-1","poldrack-single-stim","13","30013","0.0-5.0-8.0","sub-11_ses-03_2","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue4.png""</img></div></div>","none","500","AX","practice","2","","",""
"-1","-1","poldrack-single-stim","14","32033","0.0-5.0-9.0","sub-11_ses-03_2","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","","practice","","","",""
"851","89","poldrack-single-stim","15","33552","0.0-5.0-10.0","sub-11_ses-03_2","","1500","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe6.png""</img></div></div>","89,71","500","AX","practice","2","89","true",""
"-1","-1","poldrack-single-stim","16","34073","0.0-5.0-11.0","sub-11_ses-03_2","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","","practice","3","","",""
"-1","-1","poldrack-single-stim","17","34593","0.0-5.0-12.0","sub-11_ses-03_2","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>","none","500","BY","practice","3","","",""
"-1","-1","poldrack-single-stim","18","36603","0.0-5.0-13.0","sub-11_ses-03_2","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","","practice","","","",""
"485","71","poldrack-single-stim","19","38122","0.0-5.0-14.0","sub-11_ses-03_2","","1500","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71","500","BY","practice","3","71","true",""
"-1","-1","poldrack-single-stim","20","38643","0.0-5.0-15.0","sub-11_ses-03_2","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","","practice","4","","",""
