"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","exp_stage","condition","trial_num","correct_response","correct","exp_id"
"3013","13","text","0","3020","0.0-0.0","sub-14_ses-03_2","","","","","","","","","","","","","",""
"1059","89","poldrack-text","1","5089","0.0-1.0","sub-14_ses-03_2","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre index</p></div>","1059","500","fmri_response_test","","","","","","","","","",""
"248","71","poldrack-text","2","5858","0.0-2.0","sub-14_ses-03_2","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre majeur</p></div>","248","500","fmri_response_test","","","","","","","","","",""
"6939","","survey-text","3","13313","0.0-3.0","sub-14_ses-03_2","","","","task_setup","{""Q0"":""2"",""Q1"":""6""}","","","","","","","","",""
"5427","32","poldrack-single-stim","4","19746","0.0-4.0","sub-14_ses-03_2","","5427","500","instructions","","<div class = centerbox><p style = ""font-size:40px"" class = center-block-text>Paire cible (appuyez sur l'index):</p><p class = center-block-text><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png"" ></img>&nbsp&nbsp&nbsp...suivi par...&nbsp&nbsp&nbsp<img src = ""/static/experiments/dot_pattern_expectancy/images/probe6.png"" ></img><br></br></p><p style = ""font-size:40px"" class = center-block-text>Sinon appuyez sur le majeur</div>","32","5427","","","","","",""
"-1","-1","poldrack-single-stim","5","20789","0.0-5.0-0.0","sub-14_ses-03_2","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue3.png""</img></div></div>","none","500","practice","BX","0","","",""
"-1","-1","poldrack-single-stim","6","22812","0.0-5.0-1.0","sub-14_ses-03_2","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","practice","","","","",""
"-1","-1","poldrack-single-stim","7","24535","0.0-5.0-2.0","sub-14_ses-03_2","","1700","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe6.png""</img></div></div>","89,71","500","practice","BX","0","71","false",""
"-1","-1","poldrack-single-stim","8","25055","0.0-5.0-3.0","sub-14_ses-03_2","","500","0","feedback","","<div class = centerbox><div class = center-text>Repondre plus rapidement!</p></div>","none","500","practice","","1","","",""
"-1","-1","poldrack-single-stim","9","25575","0.0-5.0-4.0","sub-14_ses-03_2","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue4.png""</img></div></div>","none","500","practice","BY","1","","",""
"-1","-1","poldrack-single-stim","10","27595","0.0-5.0-5.0","sub-14_ses-03_2","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","practice","","","","",""
"250","71","poldrack-single-stim","11","29715","0.0-5.0-6.0","sub-14_ses-03_2","","2100","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71","500","practice","BY","1","71","true",""
"-1","-1","poldrack-single-stim","12","30235","0.0-5.0-7.0","sub-14_ses-03_2","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","practice","","2","","",""
"-1","-1","poldrack-single-stim","13","30757","0.0-5.0-8.0","sub-14_ses-03_2","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>","none","500","practice","AY","2","","",""
"-1","-1","poldrack-single-stim","14","32764","0.0-5.0-9.0","sub-14_ses-03_2","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","practice","","","","",""
