line,condition,item,pair,syntax,probe_type,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,probe_word
47,pseudoword_list,27,327,pseudoword_list,word_present,Pipore,le,uile,fidire,nanlions,que,le,abite,piais,surre.,uile
5,simple_sentence,6,6,cVP,word_present,Marie,a,déjà,informé,Jean,en,disant,toute,la,vérité.,Marie
36,word_list,60,460,word_list,word_present,Vilain,me,nom,s'active,matrice,le,et,percutant,un,est.,percutant
29,jabberwocky,9,209,cvp,word_present,Le,drac,a,harnu,d'auclimer,cette,fiennée,cerfituplée,avec,rèle.,drac
37,word_list,18,418,word_list,word_present,Case,le,mortel,ce,convienne,l'informant,a,froussards,en,rigolotes.,l'informant
56,consonant_strings,33,1033,consonant_strings,word_present,Qhr,kgcm,dqcbvbpdp,mnssxdsrdnt,tsvbdf,gmp,vxk,lkjrnqmnjsb,bsv,sdcxsm.,mnssxdsrdnt
0,simple_sentence,22,22,adj,word_absent,Depuis,que,les,économies,nationales,ralentissent,le,problème,bancaire,empire.,lait
26,jabberwocky,45,245,adj,word_present,Depuis,que,les,battases,vrètent,les,baucrètes,ravent,les,mévettes.,baucrètes
23,jabberwocky,7,207,cvp,word_absent,Tifat,a,jusé,ennitre,en,batrée,vers,la,gaugrée,gitrue.,haite
40,pseudoword_list,54,354,pseudoword_list,word_absent,Le,diluder,rugire,le,et,cracé,le,troce,marsitant,fabanlait.,tatin
33,word_list,51,451,word_list,word_absent,Le,le,pointant,dissimuler,vaccination,le,s'explique,trompa,et,sur.,mouvement
7,simple_sentence,52,52,coord,word_present,Le,boxeur,adverse,se,déconcentre,et,le,champion,gagne,facilement.,champion
4,simple_sentence,11,11,cVP,word_absent,La,chanteuse,a,vraiment,raté,ce,concert,en,chantant,faux.,Marc
50,consonant_strings,23,1023,consonant_strings,word_absent,Sq,cpltkq,v,dbfvrljj,pk,gxgnrhkqssg,srgsflqgl,jw,rbsgkvspsd,hnssptsm.,tsmxmn
52,consonant_strings,36,1036,consonant_strings,word_absent,St,fsjlhgrvl,wckbkstr,dcdb,fcm,tn,tbfxrthcm,fmll,dt,vfmffr.,mpjllr
15,complex_sentence,16,16,ObjClef,word_present,C'est,cette,injustice,que,l'accord,pérennise,en,pénalisant,la,mobilité.,mobilité
38,word_list,55,455,word_list,word_present,A,allumette,grains,formeront,ajoutais,le,acoquiner,teste,le,et.,acoquiner
49,pseudoword_list,20,320,pseudoword_list,word_present,Heute,auméreau,utrare,en,cet,la,êras,rédiosiles,une,sprouffle.,sprouffle
41,pseudoword_list,19,319,pseudoword_list,word_absent,Moutant,a,ma,imain,oudénait,la,pour,ce,sanlé,rescée.,ahui
57,consonant_strings,29,1029,consonant_strings,word_present,Cf,brftwt,cmslspf,j,cnnrgbpptkfh,vf,thsdfpv,stc,bgptwc,zsmpdprgr.,brftwt
48,pseudoword_list,53,353,pseudoword_list,word_present,Pontait,et,glatenge,lère,frèsempis,saltions,les,cavotes,les,aux.,saltions
31,word_list,37,437,word_list,word_absent,Assuraient,que,botte,exemplaire,le,paniers,issue,minou,s'entraîne,son.,lampes
30,word_list,4,404,word_list,word_absent,Gitan,la,à,l'improviste,en,habitais,tracts,un,s'affichant,montrer.,violente
35,word_list,28,428,word_list,word_present,Les,livrera,mangues,serrais,fictif,très,bleuets,les,que,s'enrhume.,fictif
16,complex_sentence,17,17,ObjClef,word_present,C'est,cette,douleur,que,le,froid,atténue,aussitôt,en,pénétrant.,froid
54,consonant_strings,35,1035,consonant_strings,word_absent,Ns,frrksd,ccjdpb,hgrsdp,fn,jtf,nbdblr,npnt,qpxl,xljrmwwj.,qcvczv
59,consonant_strings,21,1021,consonant_strings,word_present,Rv,jhgsb,tqtmqrps,bs,cswbsnp,lr,fbcksdgbhcl,sqcl,tn,svsns.,cswbsnp
8,simple_sentence,10,10,cVP,word_present,Le,pompier,a,abrité,une,jeune,adolescente,en,bravant,l'incendie.,jeune
51,consonant_strings,26,1026,consonant_strings,word_absent,Rjnpcb,wsc,lbt,jltsfccshs,xzlzdvpgnb,xtfkbssblcgs,tp,nkdltdmbs,msssfrgj,tldtkp.,zlssl
20,jabberwocky,46,246,coord,word_absent,Le,cheux,jalse,l'asuveci,lounant,et,la,régneuse,courve,s'ogie.,soucran
14,complex_sentence,58,58,ObjRel,word_absent,Les,cigognes,que,les,Alsaciens,observent,dans,le,ciel,migrent.,visiteur
53,consonant_strings,50,1050,consonant_strings,word_absent,Rs,wxjcbphsbt,wwvb,mxprsfspc,vg,hf,qqnljvgm,hhtzlf,fd,lpvj.,vcpjpmdh
9,simple_sentence,39,39,adj,word_present,Le,garçon,obéit,lentement,pendant,que,le,maître,d'école,s'impatiente.,obéit
45,pseudoword_list,38,338,pseudoword_list,word_present,Rouliler,envige,decicrirains,les,laprece,longléclat,êprès,aisurés,les,les.,longléclat
44,pseudoword_list,56,356,pseudoword_list,word_absent,Pengoûte,ce,iesse,parsommons,omtensai,les,et,vivaite,est,lause.,majourde
46,pseudoword_list,12,312,pseudoword_list,word_present,A,coci,diamerant,touné,usintemarre,princoures,en,aglise,une,le.,princoures
27,jabberwocky,48,248,coord,word_present,Le,nouteur,crêne,le,fatoya,somallant,et,l'arite,déteuse,s'abivente.,fatoya
39,word_list,1,401,word_list,word_present,Agacent,dictaient,du,tenta,harceler,carmin,halal,les,en,les.,carmin
24,jabberwocky,13,213,cvp,word_absent,La,prégneuse,a,situmant,gêsi,ce,choglot,en,délarant,mune.,soufagade
17,complex_sentence,3,3,ObjClef,word_present,C'est,le,souvenir,que,la,photo,a,évoqué,en,s'affichant.,souvenir
11,complex_sentence,15,15,ObjClef,word_absent,C'est,ce,transporteur,que,la,société,engage,pour,traverser,l'Atlantique.,changeant
21,jabberwocky,43,243,adj,word_absent,L'huc,porson,des,cholons,mangle,dès,que,le,toudif,barsife.,perruse
13,complex_sentence,34,34,SubjRel,word_absent,Le,soleil,qui,révèle,les,paysages,incroyables,de,l'île,resplendit.,estompe
10,complex_sentence,8,8,ObjClef,word_absent,C'est,cette,bonne,classe,que,le,professeur,regrette,en,soupirant.,athlète
19,complex_sentence,24,24,SubjRel,word_present,Le,camion,très,pressé,qui,éclabousse,la,voiture,accidentée,dépasse.,pressé
42,pseudoword_list,31,331,pseudoword_list,word_absent,A,le,fonsie,le,intéteuils,mantramier,encaine,parcoucher,preligal,que.,touder
55,consonant_strings,44,1044,consonant_strings,word_present,Rjllsrs,tctffwv,crn,dd,mnbnfltd,jsjrqjcchm,td,pcmpdfcrzd,kv,hptcnxc.,mnbnfltd
18,complex_sentence,41,41,ObjRel,word_present,Le,paquebot,que,le,puissant,remorqueur,tire,rentre,au,port.,puissant
12,complex_sentence,57,57,ObjRel,word_absent,La,vieille,dame,que,le,jeune,homme,hâtif,bouscule,rouspète.,peintre
58,consonant_strings,30,1030,consonant_strings,word_present,Rps,ssfjrbb,tjll,nttscprbk,prcjhwgs,hbjznc,rfb,hmd,fllmssrgd,nmtntzdtgd.,fllmssrgd
2,simple_sentence,5,5,cVP,word_absent,Les,clients,grimpent,l'escalier,de,l'hôtel,en,accélérant,le,pas.,fond
34,word_list,32,432,word_list,word_absent,Rapport,astuces,que,tente,pâquerettes,les,s'entassent,retenu,les,ponts.,remanié
32,word_list,47,447,word_list,word_absent,Alerté,une,la,un,allant,fournirons,mauvais,omettez,point,est.,grimperais
28,jabberwocky,42,242,adj,word_present,Le,préfarant,s'ichétame,dès,que,la,matel,dantis,son,adeur.,adeur
43,pseudoword_list,40,340,pseudoword_list,word_absent,Que,bligne,arfecre,les,ticlavonre,croirut,au,entoyer,le,falute.,nompoutanoux
1,simple_sentence,25,25,adj,word_absent,Les,draps,propres,sèchent,pendant,que,les,nappes,sales,s'entassent.,écoule
25,jabberwocky,2,202,cvp,word_present,La,portalome,s'écharve,en,corvetant,une,masine,dans,son,glé.,s'écharve
6,simple_sentence,14,14,cVP,word_present,Le,chien,attend,le,rôti,en,reniflant,l'odeur,du,four.,reniflant
22,jabberwocky,49,249,coord,word_absent,Le,larginiste,vencousé,s'alise,et,la,ropocoup,se,gonne,juritalement.,adecimaro
3,simple_sentence,59,59,coord,word_absent,Le,paysan,conduit,trop,lentement,et,le,gros,tracteur,cale.,flottent
