line,island,space,time,reference_we,cue,distance,event_we_1,correct_answer,event_we_2,correct_answer,event_we_3,correct_answer,event_we_4,correct_answer
15,we,east,present,debit_reduit,ouest_ou_est,close,provision_deau,east,peche_de_poisson,west,lavage_des_vetements,west,attaque_crocodile,east
17,we,west,present,les_animaux_broutent,avant_ou_apres,close,analyse_de_la_roche,after,pommade_anti_moustique,after,traces_danimaux,before,decouverte_de_fer,before
20,we,west,present,les_animaux_broutent,ouest_ou_est,far,decouverte_de_fer,east,recifs_evites,west,accostage_falaise,west,analyse_de_la_roche,east
4,we,center,past,premiere_rencontre,ouest_ou_est,far,arrivee_sur_la_plage,east,provision_deau,east,traces_danimaux,west,accostage_falaise,west
14,we,east,present,debit_reduit,avant_ou_apres,far,arrivee_sur_la_plage,before,peche_de_poisson,before,minerai_embarque,after,lavage_des_vetements,after
3,we,center,past,premiere_rencontre,ouest_ou_est,close,peche_de_poisson,east,perte_de_nourriture,east,decouverte_de_fer,west,maladie_inconnue,west
7,we,center,present,lermite_observe,ouest_ou_est,close,eboulis_contournes,east,decouverte_de_fer,west,perte_de_nourriture,east,analyse_de_la_roche,west
8,we,center,present,lermite_observe,ouest_ou_est,far,maladie_inconnue,west,peche_de_poisson,east,lavage_des_vetements,east,soiree_musicale,west
6,we,center,present,lermite_observe,avant_ou_apres,far,decouverte_de_fer,before,analyse_de_la_roche,after,eboulis_contournes,after,perte_de_nourriture,before
13,we,east,present,debit_reduit,avant_ou_apres,close,provision_deau,before,attaque_crocodile,after,perte_de_nourriture,before,eboulis_contournes,after
1,we,center,past,premiere_rencontre,avant_ou_apres,close,decouverte_de_fer,after,maladie_inconnue,before,peche_de_poisson,before,perte_de_nourriture,after
2,we,center,past,premiere_rencontre,avant_ou_apres,far,traces_danimaux,after,provision_deau,after,arrivee_sur_la_plage,before,accostage_falaise,before
16,we,east,present,debit_reduit,ouest_ou_est,far,perte_de_nourriture,west,eboulis_contournes,west,minerai_embarque,east,arrivee_sur_la_plage,east
10,we,center,future,seconde_rencontre,avant_ou_apres,far,attaque_crocodile,before,recifs_evites,after,minerai_embarque,after,pommade_anti_moustique,before
9,we,center,future,seconde_rencontre,avant_ou_apres,close,analyse_de_la_roche,before,eboulis_contournes,before,lavage_des_vetements,after,soiree_musicale,after
19,we,west,present,les_animaux_broutent,ouest_ou_est,close,traces_danimaux,west,pommade_anti_moustique,west,soiree_musicale,east,maladie_inconnue,east
5,we,center,present,lermite_observe,avant_ou_apres,close,attaque_crocodile,after,provision_deau,before,pommade_anti_moustique,after,traces_danimaux,before
12,we,center,future,seconde_rencontre,ouest_ou_est,far,attaque_crocodile,east,minerai_embarque,east,recifs_evites,west,pommade_anti_moustique,west
11,we,center,future,seconde_rencontre,ouest_ou_est,close,soiree_musicale,west,lavage_des_vetements,east,eboulis_contournes,east,analyse_de_la_roche,west
18,we,west,present,les_animaux_broutent,avant_ou_apres,far,maladie_inconnue,before,accostage_falaise,before,recifs_evites,after,soiree_musicale,after
