line,island,space,time,reference_we,cue,distance,event_we_1,correct_answer,event_we_2,correct_answer,event_we_3,correct_answer,event_we_4,correct_answer
4,we,center,past,premiere_rencontre,ouest_ou_est,far,traces_danimaux,west,provision_deau,east,arrivee_sur_la_plage,east,accostage_falaise,west
19,we,west,present,les_animaux_broutent,ouest_ou_est,close,maladie_inconnue,east,traces_danimaux,west,pommade_anti_moustique,west,soiree_musicale,east
12,we,center,future,seconde_rencontre,ouest_ou_est,far,recifs_evites,west,pommade_anti_moustique,west,minerai_embarque,east,attaque_crocodile,east
2,we,center,past,premiere_rencontre,avant_ou_apres,far,provision_deau,after,arrivee_sur_la_plage,before,accostage_falaise,before,traces_danimaux,after
1,we,center,past,premiere_rencontre,avant_ou_apres,close,decouverte_de_fer,after,maladie_inconnue,before,peche_de_poisson,before,perte_de_nourriture,after
16,we,east,present,debit_reduit,ouest_ou_est,far,perte_de_nourriture,west,arrivee_sur_la_plage,east,eboulis_contournes,west,minerai_embarque,east
7,we,center,present,lermite_observe,ouest_ou_est,close,decouverte_de_fer,west,perte_de_nourriture,east,analyse_de_la_roche,west,eboulis_contournes,east
20,we,west,present,les_animaux_broutent,ouest_ou_est,far,analyse_de_la_roche,east,recifs_evites,west,accostage_falaise,west,decouverte_de_fer,east
6,we,center,present,lermite_observe,avant_ou_apres,far,analyse_de_la_roche,after,decouverte_de_fer,before,eboulis_contournes,after,perte_de_nourriture,before
18,we,west,present,les_animaux_broutent,avant_ou_apres,far,maladie_inconnue,before,soiree_musicale,after,recifs_evites,after,accostage_falaise,before
17,we,west,present,les_animaux_broutent,avant_ou_apres,close,analyse_de_la_roche,after,traces_danimaux,before,decouverte_de_fer,before,pommade_anti_moustique,after
14,we,east,present,debit_reduit,avant_ou_apres,far,arrivee_sur_la_plage,before,lavage_des_vetements,after,peche_de_poisson,before,minerai_embarque,after
9,we,center,future,seconde_rencontre,avant_ou_apres,close,lavage_des_vetements,after,soiree_musicale,after,analyse_de_la_roche,before,eboulis_contournes,before
13,we,east,present,debit_reduit,avant_ou_apres,close,perte_de_nourriture,before,attaque_crocodile,after,provision_deau,before,eboulis_contournes,after
8,we,center,present,lermite_observe,ouest_ou_est,far,maladie_inconnue,west,lavage_des_vetements,east,soiree_musicale,west,peche_de_poisson,east
5,we,center,present,lermite_observe,avant_ou_apres,close,attaque_crocodile,after,provision_deau,before,traces_danimaux,before,pommade_anti_moustique,after
3,we,center,past,premiere_rencontre,ouest_ou_est,close,perte_de_nourriture,east,peche_de_poisson,east,decouverte_de_fer,west,maladie_inconnue,west
10,we,center,future,seconde_rencontre,avant_ou_apres,far,recifs_evites,after,pommade_anti_moustique,before,attaque_crocodile,before,minerai_embarque,after
15,we,east,present,debit_reduit,ouest_ou_est,close,peche_de_poisson,west,provision_deau,east,attaque_crocodile,east,lavage_des_vetements,west
11,we,center,future,seconde_rencontre,ouest_ou_est,close,lavage_des_vetements,east,soiree_musicale,west,eboulis_contournes,east,analyse_de_la_roche,west
